chr_name	begin	end	overlap_count	p-value	p-value_adjusted	mean	variance	standard_deviation	z-score
chr1	0	10000000	13	5.9002634363882761742e-05	1	27.142919170047762166	15.336049983411615371	3.9161269110450972937	-3.6114557804954894843
chr1	100000	10100000	14	0.00014003570902269932719	1	27.639319381982858384	15.696023619528573238	3.9618207455068652106	-3.442689676823800557
chr1	200000	10200000	14	0.00012253612807087507926	1	27.746259761355652137	15.6562938699793617195	3.9568034914535952628	-3.4740819934693655986
chr1	300000	10300000	14	0.000102004693040511000925	1	27.97687748700724569	15.83372706024623506	3.979161602680423315	-3.5125181841300966651
chr1	400000	10400000	13	1.3560994987990725286e-05	0.3877630906866067988	28.697168285565620676	16.176915857289296437	4.0220536865249942155	-3.9027744304248172273
chr1	500000	10500000	13	4.18527262943609824e-05	1	27.963512647218869846	16.370106468335095697	4.045998822087704921	-3.6983482460575235692
chr1	600000	10600000	13	3.6830351532243199813e-05	1	28.164448789877697144	16.565348721133775593	4.0700551250730960576	-3.7258583296474028933
chr1	700000	10700000	12	4.2766211007708969524e-05	1	27.029587449332030854	16.570527174792826199	4.0706912404151737875	-3.6921462625593653491
chr1	800000	10800000	12	0.00016948831963034950536	1	25.54161872553577996	15.844701911675708048	3.9805404044772247543	-3.4019548477147634284
chr1	900000	10900000	12	0.0001836597109780757815	1	25.434656729534905133	15.751602103137377037	3.9688288074868355345	-3.3850431402311039128
chr1	1000000	11000000	11	6.654655120238115189e-05	1	25.14695313180735719	15.540266079879337246	3.9421144174008112173	-3.5886713661484720553
chr1	1100000	11100000	11	5.6016115488785093676e-05	1	25.3639718907659916	15.724500002399135217	3.9654129674472916385	-3.6223142478935058983
chr1	1200000	11200000	11	6.317061557206019669e-05	1	25.208358320562059161	15.581180557931976709	3.9473004139452037289	-3.599512788630457413
chr1	1300000	11300000	10	1.9298103243269545314e-05	0.5518099641380493787	24.981897753253979834	15.408869247652067252	3.9254132581999652755	-3.8166421642250396484
chr1	1400000	11400000	10	2.0486870879363225752e-05	0.5858015859245120772	24.907682846280977722	15.340162193096082198	3.9166519111475916553	-3.8062312363911294116
chr1	1500000	11500000	9	3.2467539284455729343e-06	0.09283768182997271248	25.183417241417200975	15.409315335628163894	3.925470078299943416	-4.1226698761198997704
chr1	1600000	11600000	8	1.6367212452710137211e-06	0.046800407287279366343	24.25773992146770216	14.927202060867402722	3.8635737421288341086	-4.2079538289101391713
chr1	1700000	11700000	7	1.5139478394199286771e-06	0.043289824520373440592	23.344971708116941896	15.006031235192332914	3.8737618970701248966	-4.2194053590333656305
chr1	1800000	11800000	7	1.5139478394199286771e-06	0.043289824520373440592	23.344971708116941896	15.006031235192332914	3.8737618970701248966	-4.2194053590333656305
chr1	1900000	11900000	7	1.7469455327178794293e-06	0.0499521605625350444	23.181841070127646132	14.857288308747062488	3.8545153143744366874	-4.1981519725143071555
chr1	2000000	12000000	8	6.926157420625726936e-06	0.198046545285372036	23.437997986624770373	14.9633357081350138644	3.8682471105314631728	-3.9909544415076742766
chr1	2100000	12100000	8	1.198813500545842299e-05	0.34278873234607814698	22.829668407940454955	14.503348389783212168	3.8083261926708972716	-3.8940121349058990582
chr1	2200000	12200000	8	1.198813500545842299e-05	0.34278873234607814698	22.829668407940450018	14.503348389783211215	3.8083261926708971464	-3.8940121349058978897
chr1	2300000	12300000	8	1.4290141059224902237e-05	0.40861229344747685457	22.629696537343161953	14.343365268216103653	3.7872635593811138472	-3.862867294013685446
chr1	2400000	12400000	8	1.6517955161110755858e-05	0.47231440987680095301	22.457084534277144844	14.188201284711884796	3.7667228839817623084	-3.8381067520939358415
chr1	2500000	12500000	8	1.9048451294642536704e-05	0.5446714163190086945	22.291622022665201817	14.050116615848875677	3.7483485184610136085	-3.812778334852655534
chr1	2600000	12600000	8	2.2941616385632621284e-05	0.655992578930779173	22.163132762412174932	14.000770236427330207	3.7417603125303643917	-3.785152329234675179
chr1	2700000	12700000	8	0.00015688707969757471569	1	20.603606451562358745	13.719593913604021762	3.7039970185738570277	-3.402704264706752253
chr1	2800000	12800000	8	0.00011268729173986280468	1	20.977109830828784713	13.953592518546992975	3.7354507784934060052	-3.4740411801284005388
chr1	2900000	12900000	11	0.0013218896306903162984	1	21.89673564408874639	13.893932719926092992	3.727456602017801225	-2.9233702246700783505
chr1	3000000	13000000	11	0.0014784755269651858253	1	21.727817013388576831	13.726936744863784925	3.704988089706063404	-2.895506477657711485
chr1	3100000	13100000	11	0.0017013846584752227113	1	21.50377040403472964	13.459862577794642807	3.6687685369609572587	-2.863023463653986827
chr1	3200000	13200000	12	0.0017018064100285858892	1	22.5036229590916012	13.460010000997659871	3.6687886285527079777	-2.8629675957197761383
chr1	3300000	13300000	12	0.0024463213964927743756	1	21.994922121304676138	13.0521240293344610054	3.6127723467351857216	-2.7665518781821263142
chr1	3400000	13400000	13	0.0025660975149156316569	1	22.925240706068805797	12.988568641795474627	3.603965682660626366	-2.7539775846981707174
